¿¬¿ù,Á¾¸ñ¸í,Á¾¸ñÄÚµå,½ÃÀå¾ÆÀÌµð,Á¾°¡,ÃÖ°í°¡(Á¾°¡),ÃÖÀú°¡(Á¾°¡),Ç¥ÁØÆíÂ÷,Ã·µµ,°ø¿Öµµ,º£Å¸,Amihud,Amivest,Zeros,°Å·¡·®_ÇÕ°è,°Å·¡·®_ÀÏÆò±Õ,°Å·¡´ë±Ý_ÇÕ°è,°Å·¡´ë±Ý_ÀÏÆò±Õ
"2018/01","KB±ÝÀ¶","105560","STK","67300","68600","63000","1.823552","0.256006","0.298956","0.914958","0.00002202","1240915.1708","9.090909","19684925","894769","1308693768619","59486080392"
"2018/02","KB±ÝÀ¶","105560","STK","64000","67700","61000","2.27733","2.045446","0.261592","0.630385","0.000020413","2211774.79","5.555556","21886122","1215896","1411362098762","78409005487"
"2018/03","KB±ÝÀ¶","105560","STK","60700","64000","60100","1.67097","-0.659833","0.269789","0.982491","0.000025188","1395554.6413","0","20248659","964222","1259676100693","59984576223"
"2018/04","KB±ÝÀ¶","105560","STK","61200","61300","56600","1.593239","0.223828","0.263222","0.361876","0.000021927","1576384.5724","0","19388892","923281","1146890807952","54613847998"
"2018/05","KB±ÝÀ¶","105560","STK","51800","60700","51800","1.090313","3.044943","0.295435","0.837318","0.000017428","1115931.9501","10","19972713","998636","1123353246280","56167662314"
"2018/06","KB±ÝÀ¶","105560","STK","52800","57400","52300","2.04575","0.353468","0.383422","1.451301","0.0000234","1123436.5824","10.526316","21548550","1134134","1176926659325","61943508386"
"2018/07","KB±ÝÀ¶","105560","STK","53600","55400","51900","1.856667","0.161351","0.396579","0.819768","0.00003111","911153.2165","4.545455","19216080","873458","1035042163963","47047371089"
"2018/08","KB±ÝÀ¶","105560","STK","51700","53900","50200","1.241481","0.260815","0.408605","0.881549","0.000020292","1944857.2375","9.090909","21733876","987903","1122016773183","51000762417"
"2018/09","KB±ÝÀ¶","105560","STK","54200","54200","50300","1.373394","0.565422","0.348523","0.712587","0.000019873","1693862.2734","0","16204333","953196","837020892287","49236523076"
"2018/10","KB±ÝÀ¶","105560","STK","47400","56200","47400","2.271446","-0.084352","-0.32678","0.372714","0.000028351","1370517.9961","0","26277673","1251318","1372695780772","65366465751"
"2018/11","KB±ÝÀ¶","105560","STK","47200","49050","46550","1.162008","1.046821","-0.352099","0.891163","0.000013324","2434910.6013","13.636364","26909324","1223151","1284159245211","58370874782"
"2018/12","KB±ÝÀ¶","105560","STK","46500","48950","45200","1.99249","0.91544","-0.354699","0.437929","0.000026311","1764296.1045","5.263158","23581671","1241141","1116495312333","58762911175"
"2019/01","KB±ÝÀ¶","105560","STK","48050","48050","44550","1.752242","1.125945","-0.403179","0.838864","0.000025815","1511928.5282","0","25719790","1169081","1188597769855","54027171357"
"2019/02","KB±ÝÀ¶","105560","STK","44350","48600","44350","1.200866","1.953995","-0.384751","0.055638","0.000013183","3847152.203","0","24463356","1439021","1126766582034","66280387178"
"2019/03","KB±ÝÀ¶","105560","STK","41850","44100","40750","1.567503","0.041611","-0.389045","1.574932","0.000018614","2551691.9805","0","32640125","1632006","1398091903481","69904595174"
"2019/04","KB±ÝÀ¶","105560","STK","46200","46450","44000","1.442496","4.184951","-0.427324","1.448348","0.000016853","1692748.2172","4.545455","28462306","1293741","1288170588045","58553208548"
"2019/05","KB±ÝÀ¶","105560","STK","43800","46800","43800","0.823572","0.066577","-0.427618","0.313777","0.000013876","3839544.955","9.52381","22349219","1064249","1029206260307","49009821919"
"2019/06","KB±ÝÀ¶","105560","STK","45850","45850","44300","1.132184","-0.481367","-0.435258","1.092442","0.000020705","1381012.1431","10.526316","19908925","1047838","890848797733","46886778828"
"2019/07","KB±ÝÀ¶","105560","STK","43400","46700","43350","1.280726","-0.472554","-0.446147","0.754134","0.000028241","1301906.9865","8.695652","18305737","795902","814381430053","35407888263"
"2019/08","KB±ÝÀ¶","105560","STK","39700","43200","38250","1.376443","1.31786","-0.426955","0.933181","0.000026348","1727886.6274","4.761905","21932009","1044381","868118887390","41338994638"
"2019/09","KB±ÝÀ¶","105560","STK","42700","44650","39450","1.842951","-0.491409","-0.459593","1.853548","0.000033962","890999.1907","0","19340679","1017930","825321985649","43437999245"
"2019/10","KB±ÝÀ¶","105560","STK","41950","44100","40850","1.335391","0.283438","-0.521071","1.138392","0.000026219","1485350.5219","4.761905","17604317","838301","748789219583","35656629504"
"2019/11","KB±ÝÀ¶","105560","STK","46050","46550","42300","1.095147","-0.772987","-0.567357","0.369842","0.000021415","1957415.6894","4.761905","23815784","1134085","1062902420005","50614400953"
"2019/12","KB±ÝÀ¶","105560","STK","47650","50000","45850","1.62175","-0.10919","-0.60333","0.375136","0.000021952","1585528.1283","5","22362510","1118126","1077648038063","53882401903"
"2020/01","KB±ÝÀ¶","105560","STK","43950","48300","43800","1.591051","1.635587","-0.588881","1.032652","0.000024707","2129773.9445","0","21252135","1062607","986272060318","49313603016"
"2020/02","KB±ÝÀ¶","105560","STK","38900","45250","38900","1.703963","1.317292","-0.575389","0.745004","0.000021151","2493324.6538","5","31774330","1588717","1324810060393","66240503020"
"2020/03","KB±ÝÀ¶","105560","STK","34550","38950","26050","6.60369","2.058383","-0.672142","1.318423","0.000055555","1117558.6437","4.545455","55713991","2532454","1830197855625","83190811619"
"2020/04","KB±ÝÀ¶","105560","STK","34750","34750","31100","3.751465","2.496181","-0.589865","1.562171","0.000027819","3091602.9643","0","53407678","2670384","1744334730188","87216736509"
"2020/05","KB±ÝÀ¶","105560","STK","34000","34200","30950","2.238299","0.180859","-0.589025","1.395612","0.000020099","2907591.0387","0","52428817","2759411","1710858576694","90045188247"
"2020/06","KB±ÝÀ¶","105560","STK","33950","38600","33250","3.446724","-0.42888","-0.607183","1.437459","0.00002775","2323813.0671","0","64921629","2950983","2335226415380","106146655245"
"2020/07","KB±ÝÀ¶","105560","STK","35250","36900","33950","1.714672","0.061624","-0.606636","0.928407","0.000020965","2873043.7448","0","42209443","1835193","1502758205575","65337313286"
"2020/08","KB±ÝÀ¶","105560","STK","36850","41500","35250","2.734302","-0.995723","-0.627806","1.482246","0.00002141","1325561.8586","10","49392502","2469625","1874111702345","93705585117"
"2020/09","KB±ÝÀ¶","105560","STK","37550","38350","36950","1.465833","0.723533","-0.623707","0.450987","0.000016708","3072933.4718","4.761905","32399308","1542824","1221924866000","58186898381"
"2020/10","KB±ÝÀ¶","105560","STK","40100","42400","38750","1.970577","-0.180089","-0.622701","1.483261","0.000018214","3431016.3522","0","38596203","2031379","1567758150863","82513586888"
"2020/11","KB±ÝÀ¶","105560","STK","45350","48450","41550","2.806727","-0.241544","-0.479719","1.441772","0.000022475","1990423.4731","0","43622763","2077274","1978900301573","94233347694"
"2020/12","KB±ÝÀ¶","105560","STK","43400","47200","43400","1.721725","1.853958","-0.506806","0.930387","0.000014416","2800006.8908","9.52381","39053427","1859687","1783793675590","84942555980"
"2021/01","KB±ÝÀ¶","105560","STK","40300","47300","40300","1.990448","0.403465","-0.529205","0.521774","0.000012308","5013710.1191","0","58017466","2900873","2591444620410","129572231021"
"2021/02","KB±ÝÀ¶","105560","STK","43800","45500","41850","2.191201","0.468009","-0.565467","0.876168","0.000015439","3061564.6402","0","41082655","2282370","1802736973717","100152054095"
"2021/03","KB±ÝÀ¶","105560","STK","56200","56200","44500","2.265274","0.214126","-0.527273","-0.361397","0.000014607","1522698.0088","9.090909","57804719","2627487","2914599029947","132481774089"
"2021/04","KB±ÝÀ¶","105560","STK","54700","55000","52300","1.575038","-1.342949","-0.52021","0.182494","0.000015984","1500356.2379","9.090909","38509026","1750410","2068962003368","94043727426"
"2021/05","KB±ÝÀ¶","105560","STK","58800","59700","53300","2.66377","2.0355","-0.539944","1.365456","0.000021459","1228677.2415","0","31710620","1668980","1814602362478","95505387499"
"2021/06","KB±ÝÀ¶","105560","STK","55800","58900","55100","1.221611","0.274735","-0.549047","1.689611","0.00001558","1910684.0809","9.090909","23196389","1054381","1320057388000","60002608545"
"2021/07","KB±ÝÀ¶","105560","STK","51300","54700","50400","1.567593","-0.383197","-0.510216","1.922981","0.000015398","1792894.7199","0","34225549","1555707","1785759190322","81170872287"
"2021/08","KB±ÝÀ¶","105560","STK","52900","54700","50800","1.759191","0.46059","-0.513358","0.800362","0.000018695","1544670.4541","4.761905","30405705","1447891","1600986418324","76237448492"
"2021/09","KB±ÝÀ¶","105560","STK","55300","55300","51400","1.386556","-0.013009","-0.511561","-0.229162","0.000013779","1808653.1066","10.526316","26175504","1377658","1382987173289","72788798594"
"2021/10","KB±ÝÀ¶","105560","STK","56600","59100","53700","1.571884","-1.066284","-0.53678","0.754821","0.000016725","1748892.735","5.263158","26533227","1396486","1493624818068","78611832530"
"2021/11","KB±ÝÀ¶","105560","STK","52800","57600","52800","1.516304","1.451349","-0.522601","1.071389","0.000017226","1755911.6941","4.545455","25115323","1141606","1399601751985","63618261454"
"2021/12","KB±ÝÀ¶","105560","STK","55000","58400","53900","1.547126","0.69685","-0.524692","1.29975","0.000018073","2113593.7729","9.090909","21641792","983718","1226674345206","55757924782"
"2022/01","KB±ÝÀ¶","105560","STK","59500","62300","55300","2.285441","-0.834214","-0.39393","0.771595","0.000020479","1925658.9676","0","30904827","1545241","1829277917159","91463895858"
"2022/02","KB±ÝÀ¶","105560","STK","59700","65800","58900","2.010615","1.255442","-0.397775","0.59966","0.00001584","2408380.8087","0","25823320","1434629","1610663701437","89481316747"
"2022/03","KB±ÝÀ¶","105560","STK","61300","61400","53200","2.209307","0.010613","-0.397603","1.2331","0.000017648","1546389.1826","0","34856012","1659810","2006711859169","95557707579"
"2022/04","KB±ÝÀ¶","105560","STK","58500","61900","57900","1.646872","0.059689","-0.375851","0.714458","0.000017759","1472296.9771","14.285714","21128289","1006109","1259323576356","59967789350"
"2022/05","KB±ÝÀ¶","105560","STK","60400","60400","56700","1.275169","-0.766592","-0.388373","0.333151","0.000016623","1527381.2938","4.761905","26629981","1268094","1565364040596","74541144790"
"2022/06","KB±ÝÀ¶","105560","STK","48150","58200","47900","1.730734","-0.282972","-0.47558","0.783955","0.000021198","1902687.2794","10","28640068","1432003","1502791339866","75139566993"
"2022/07","KB±ÝÀ¶","105560","STK","48450","48650","44050","2.124103","0.858404","-0.478225","1.307318","0.000023193","2713581.2412","4.761905","25473564","1213027","1191392829115","56732991863"
"2022/08","KB±ÝÀ¶","105560","STK","49450","52200","47500","1.66877","1.956269","-0.508944","1.123778","0.000022277","1664891.9373","4.545455","21826100","992095","1094020547874","49728206722"
"2022/09","KB±ÝÀ¶","105560","STK","43700","50100","43700","2.329524","0.448095","-0.526463","1.148734","0.000026723","1816962.333","0","26270686","1313534","1243741479449","62187073972"
"2022/10","KB±ÝÀ¶","105560","STK","48050","48050","44550","2.295741","-0.961864","-0.531941","0.943502","0.000031144","1332970.7456","0","24409013","1284685","1125862389836","59255915255"
"2022/11","KB±ÝÀ¶","105560","STK","52500","52500","47100","1.693176","1.123104","-0.497803","0.568486","0.000022737","1592297.6262","4.545455","25474878","1157949","1260129562386","57278616472"
"2022/12","KB±ÝÀ¶","105560","STK","51900","53500","50400","1.977392","1.032073",,"1.363141","0.000020661","1315936.637","8.333333","16004647","1333721","835919140173","69659928348"