楷岿,辆格疙,辆格内靛,矫厘酒捞叼,辆啊,弥绊啊(辆啊),弥历啊(辆啊),钎霖祈瞒,梅档,傍恐档,海鸥,Amihud,Amivest,Zeros,芭贰樊_钦拌,芭贰樊_老乞闭,芭贰措陛_钦拌,芭贰措陛_老乞闭
"2017/12","力老扁裙","030000","STK","21200","21800","20400","2.063103","-0.545803","-0.139461","1.07076","0.000198101","409859.077","5.263158","8425257","443435","178207553624","9379344928"
"2018/01","力老扁裙","030000","STK","21250","21250","19650","2.354387","4.253687","-0.145738","0.453438","0.000199756","261654.7303","13.636364","8337178","378963","170980119300","7771823605"
"2018/02","力老扁裙","030000","STK","18600","21000","18400","1.647527","3.635893","-0.161988","0.293836","0.000210408","475792.6854","0","6745239","374736","131301143750","7294507986"
"2018/03","力老扁裙","030000","STK","18000","19550","17950","1.681941","0.385656","-0.151528","0.842766","0.000167436","424882.5411","9.52381","7564937","360235","141023945119","6715425958"
"2018/04","力老扁裙","030000","STK","19100","19200","18400","2.110709","2.819349","-0.146179","0.536369","0.000195923","365695.792","9.52381","6831091","325290","129257593400","6155123495"
"2018/05","力老扁裙","030000","STK","19800","20500","18250","1.988745","2.657407","-0.158231","0.861992","0.000224023","360746.5807","5","6328361","316418","124364729400","6218236470"
"2018/06","力老扁裙","030000","STK","20650","20950","19600","2.430407","0.594178","-0.129658","-0.23334","0.000263843","373435.5661","5.263158","6685346","351860","135655380068","7139756846"
"2018/07","力老扁裙","030000","STK","20200","20350","19050","1.519448","0.347833","-0.106603","0.938134","0.000328396","244694.7977","9.090909","3794819","172492","75061378100","3411880823"
"2018/08","力老扁裙","030000","STK","19300","20150","19050","1.290977","0.380916","-0.106234","0.05689","0.00027798","189376.8146","18.181818","3612656","164212","70434425500","3201564795"
"2018/09","力老扁裙","030000","STK","21650","21650","18900","1.787607","0.474529","-0.234657","0.934776","0.000355303","259676.3924","0","3372391","198376","67344430420","3961437084"
"2018/10","力老扁裙","030000","STK","22700","22700","20800","2.669635","5.600719","0.036294","0.844332","0.000210261","378481.5862","4.761905","6742339","321064","147433643700","7020649700"
"2018/11","力老扁裙","030000","STK","23450","23650","21300","1.908109","0.71262","0.028119","0.100075","0.00024338","265775.7873","9.090909","6494586","295208","145975262750","6635239216"
"2018/12","力老扁裙","030000","STK","22500","23900","22450","2.390281","-0.191029","0.031251","0.370774","0.000277439","233224.7149","5.263158","5625668","296088","129944199800","6839168411"
"2019/01","力老扁裙","030000","STK","23500","23500","21600","1.947754","1.897084","0.025145","0.204314","0.000258781","220749.2142","9.090909","5017731","228079","112385472210","5108430555"
"2019/02","力老扁裙","030000","STK","25050","25700","23600","1.314016","-0.178315","0.02433","-0.094112","0.000139195","522510.5456","5.882353","4869815","286460","121904160688","7170832982"
"2019/03","力老扁裙","030000","STK","24200","24200","22800","1.996181","1.946949","0.026665","1.182733","0.000173619","418186.8054","5","6714807","335740","159767539139","7988376957"
"2019/04","力老扁裙","030000","STK","25450","25450","24250","1.632263","0.635258","0.021002","-0.412821","0.000220753","356511.0047","0","4959788","225445","123912037803","5632365355"
"2019/05","力老扁裙","030000","STK","26400","26750","25250","1.393766","-0.179706","0.059265","0.782383","0.000171348","376419.741","4.761905","5579743","265702","145597201405","6933200067"
"2019/06","力老扁裙","030000","STK","29400","29400","26550","1.237","-0.945083","0.031736","0.198471","0.000213725","315352.4178","0","3861003","203211","108589506325","5715237175"
"2019/07","力老扁裙","030000","STK","27000","29850","26900","1.656924","0.095446","0.018734","0.115456","0.000217985","246512.6236","8.695652","4982950","216650","140926870150","6127255224"
"2019/08","力老扁裙","030000","STK","26400","27150","25250","2.229094","0.357761","0.034772","0.326603","0.000208781","343704.0547","9.52381","6012280","286299","156787567000","7466074619"
"2019/09","力老扁裙","030000","STK","24800","25850","24150","1.228263","-0.640257","0.029524","0.278377","0.000188697","272913.5254","15.789474","4260308","224227","105677609799","5561979463"
"2019/10","力老扁裙","030000","STK","24750","26000","24200","1.650389","-0.489578","0.082045","0.80347","0.00020107","273900.5826","4.761905","5903062","281098","148220131315","7058101491"
"2019/11","力老扁裙","030000","STK","23650","24800","23650","1.565394","-0.815417","0.115467","0.638154","0.000277776","277224.9366","0","4181843","199135","101389143250","4828054440"
"2019/12","力老扁裙","030000","STK","24050","25200","23750","1.595452","-1.04349","0.114033","0.066414","0.00031393","275375.4082","0","3816880","190844","93385367300","4669268365"
"2020/01","力老扁裙","030000","STK","21150","23950","21150","2.132813","-1.342963","0.068183","1.28292","0.000320055","224387.241","0","6312908","315645","142288294150","7114414708"
"2020/02","力老扁裙","030000","STK","19350","22000","19350","1.622167","-0.209585","0.056459","0.643579","0.000200388","325019.1585","5","7313994","365700","154704180335","7735209017"
"2020/03","力老扁裙","030000","STK","15850","20100","11900","6.984961","2.157408","-0.237588","1.448125","0.000415966","384634.6616","0","18763415","852883","286737030550","13033501389"
"2020/04","力老扁裙","030000","STK","17700","17700","15300","3.22576","-0.917107","0.123174","1.415978","0.000178263","675974.3378","0","18296737","914837","308741296274","15437064814"
"2020/05","力老扁裙","030000","STK","16600","17700","16600","1.662876","-0.841756","0.126752","0.91686","0.000123154","961444.47","0","13713075","721741","234966968400","12366682547"
"2020/06","力老扁裙","030000","STK","16400","18400","15800","3.386798","1.741176","0.089507","1.413094","0.000195132","730394.1459","0","17042677","774667","296463902200","13475631918"
"2020/07","力老扁裙","030000","STK","19200","20200","16900","2.852545","2.050044","0.105669","1.907727","0.0001753","485673.6066","0","14289984","621304","261633719275","11375379099"
"2020/08","力老扁裙","030000","STK","18250","19250","17050","2.572139","0.695903","0.069978","0.965217","0.000157703","606724.4745","5","12517565","625878","227529628450","11376481423"
"2020/09","力老扁裙","030000","STK","20950","21300","18200","2.281496","-0.842589","0.063552","0.160392","0.00016005","338446.9604","4.761905","12848791","611847","254695513400","12128357781"
"2020/10","力老扁裙","030000","STK","20850","22650","20550","2.055539","-0.058136","0.087521","-0.148997","0.000210973","336955.6596","5.263158","6755099","355532","145319754900","7648408153"
"2020/11","力老扁裙","030000","STK","20750","21750","20750","1.421439","-1.455552","0.050684","0.762797","0.000223106","257949.103","4.761905","5984409","284972","127873084400","6089194495"
"2020/12","力老扁裙","030000","STK","20600","21800","20450","1.559986","1.315969","0.038508","0.615233","0.000135831","511633.2996","4.761905","8534981","406428","178950591088","8521456718"
"2021/01","力老扁裙","030000","STK","19300","21350","19300","1.955852","-0.595766","0.05175","0.605423","0.000112323","441116.0094","10","14365355","718268","294124697805","14706234890"
"2021/02","力老扁裙","030000","STK","19450","20350","19450","1.337793","-0.132987","0.01656","0.540566","0.000129453","609419.5331","0","7367715","409318","147150866573","8175048143"
"2021/03","力老扁裙","030000","STK","21250","21950","19400","1.646304","0.846655","-0.000701","0.665353","0.000141534","467497.045","4.545455","10534396","478836","219890847650","9995038530"
"2021/04","力老扁裙","030000","STK","21950","22300","20950","1.17007","-1.22831","-0.016972","0.6178","0.000143274","423802.904","4.545455","7290282","331376","158722699926","7214668178"
"2021/05","力老扁裙","030000","STK","25900","25900","22600","2.748588","1.447953","-0.055106","0.058598","0.000123558","527353.1055","0","12094660","636561","285454567346","15023924597"
"2021/06","力老扁裙","030000","STK","25150","25350","24000","1.753286","0.573829","-0.053629","0.996429","0.000151513","370137.6087","9.090909","7568864","344039","188212493500","8555113341"
"2021/07","力老扁裙","030000","STK","24200","25600","24200","1.798241","-1.072288","-0.030914","1.473813","0.000181771","298317.0779","4.545455","8090937","367770","202177978500","9189908114"
"2021/08","力老扁裙","030000","STK","23100","25000","22350","1.305234","-0.259238","-0.043055","0.865307","0.000162038","305889.6097","14.285714","5363526","255406","125804559800","5990693324"
"2021/09","力老扁裙","030000","STK","22800","23850","21850","1.823502","0.115364","-0.03152","1.316385","0.000192531","379351.4868","0","7212729","379617","164349945850","8649997150"
"2021/10","力老扁裙","030000","STK","23850","24650","22400","1.800049","0.270849","-0.041853","0.320638","0.000142075","422239.2644","0","7765733","408723","182609660600","9611034768"
"2021/11","力老扁裙","030000","STK","21700","24150","21700","1.615712","0.042552","-0.097509","1.28481","0.000217969","321567.0792","9.090909","5724124","260187","132893734750","6040624307"
"2021/12","力老扁裙","030000","STK","22850","24150","21550","1.623077","-0.385021","-0.09798","0.784417","0.000216331","330968.6468","4.545455","5811264","264148","132727890050","6033085911"
"2022/01","力老扁裙","030000","STK","21950","23050","20850","1.96586","1.643389","-0.060679","0.836816","0.000289736","178904.4616","5","4569566","228478","101236641200","5061832060"
"2022/02","力老扁裙","030000","STK","22500","23500","21950","1.386643","-0.512053","-0.064353","0.458236","0.000225996","310517.42","5.555556","3985860","221437","91049210500","5058289472"
"2022/03","力老扁裙","030000","STK","23550","23550","22050","1.901813","2.095901","-0.078612","0.708483","0.000211267","318741.3743","4.761905","4992805","237753","113558776300","5407560776"
"2022/04","力老扁裙","030000","STK","25300","25400","23700","1.682444","3.123339","-0.094227","0.347761","0.00014834","547532.1929","0","6140349","292398","152678234150","7270392102"
"2022/05","力老扁裙","030000","STK","26000","26250","24700","1.412418","-0.89868","-0.080895","0.817833","0.000190422","363221.179","0","5049040","240430","128593165543","6123484073"
"2022/06","力老扁裙","030000","STK","23750","25250","23550","1.493273","-0.438496","-0.138724","0.487794","0.000228081","327284.7337","0","4815021","240751","116831033800","5841551690"
"2022/07","力老扁裙","030000","STK","22800","24150","21750","2.286718","-0.109813","-0.12028","1.149023","0.00025881","218703.2331","9.52381","6424532","305930","145159657638","6912364649"
"2022/08","力老扁裙","030000","STK","21900","22700","21750","1.034793","-0.96532","-0.136894","0.518963","0.000176213","341466.6435","4.545455","5116587","232572","114879454894","5221793404"
"2022/09","力老扁裙","030000","STK","22700","23150","21550","1.752717","0.109592","-0.084293","0.492841","0.000184618","370261.1111","5","6099715","304986","137783907900","6889195395"
"2022/10","力老扁裙","030000","STK","24450","24500","22750","1.118674","0.801191","-0.083486","0.486724","0.000141811","406841.34","15.789474","5217546","274608","122806554850","6463502887"
"2022/11","力老扁裙","030000","STK","24250","24650","23600","1.229958","-0.529495","-0.113515","0.012224","0.0002192","268309.4359","4.545455","4607100","209414","110511008500","5023227659"