가게이름,카테고리,전체평점,평점건수,리뷰수,리뷰작성자,리뷰작성일,작성자리뷰작성수,작성자평균평점,리뷰평점,리뷰내용,validated_label
정직유부 인하대점,"초밥,롤",4.9,8,21,gastronomie,2023-08-14,98,3.8,4,깔끔하게 한끼 먹기 좋아요. 냉모밀 진짜 차갑네요. 먹고나서 덜덜덜 ,0
썬더치킨 인하대점,치킨,3.9,17,11,잇힝,2024-02-15,23,2.4,3,3~5천원더주고 체인점꺼 드세요돈아까워서 억지로 먹었네요 ,0
일미닭갈비파전 인하대점,닭요리,4.8,16,40,김연성,2020-06-08,3,3.7,5,사장님 친절하시고 음식도 맛있어요! ,0
정인곱창 인하본점,"곱창,막창",3.9,10,59,가성비대학생,2022-04-25,98,3.6,3,맛있게 먹었으나 속이 안좋고 가격이 만육천원은 좀.. ,0
이치라멘&돈가츠,일본식라면,4.1,18,0,친절한 고양이,2023-05-24,16,4.7,5,매운 라멘에 차슈추가 꼭이요 꼭.. 이 가격에 이런 맛은 정말 감동입니다.. ,0
박지혜 모던순대국 소머리국밥 인하직영점,순대,2.5,13,43,안승한,2025-08-07,5,4.0,4,22년엔 박창순이었죠.박지혜 창렬 순댓국이요. 인하대 주변 시세를 생각하면 너무 비쌌어요. 하지만 24시간 영업이다보니 심야할증 붙는다는 생각으로 ... 더보기,0
신흥갈비,갈비,4.5,11,21,ㅋㅎㅎ,2020-04-01,381,4.3,4,예전엔 감동적이었는데 점점 육즙이 덜 하고 고기질이 평범해진 느낌 ,0
족사랑 인하대점,"육류,고기",4.8,6,0,고독한호야,2025-09-25,13,2.6,5,어쩌다 보니 잊고 지내다가 12년 만에 배달시켜 먹어봤어요!ㅎ배민 어플 10년 쓰다가 없애고 4년 가까이 배달 끊었다가~배민... 더보기,0
당나발포차 인하대점,실내포장마차,5.0,49,68,라오니맘83,2025-04-04,53,4.9,5,"지인 추천으로 처음 가봤는데, 기대 이상이었어요. 조도랑 음악이 너무 과하지 않아서 오랜만에 편하게 술 한잔 했네요. 다음엔 다른 안주도 도전해보려구요. ",0
하노이별 인하대점,베트남음식,4.8,22,133,윤수민,2023-05-22,2,5.0,5,"가성비 너무 좋은 식당이에요ㅠㅠ 쌀국수 안에 고기도 엄청 많이 들어가있고 맛도 너무 좋아요! 마라 쌀국수 해장으로도 진짜 추천합니다.. 얼큰하고 시원하고,, ",0
미연팔복반점,중식,4.2,27,32,최아영,2025-03-27,1,1.0,1,"7시 예약 후, 7시 10분 전 방문 -> 자리 없다고 기다리라고 함7시 반에 음식 주문 -> 8시 넘어서 음식 나옴... 더보기",0
빙그레정육식당 인하대본점,"육류,고기",4.6,11,156,김은채,2024-02-07,3,5.0,5,살치살이랑 꽃갈비살 먹었는데 둘 다 살살 녹아요 ㅠㅠ 꽃갈비살이 확실히 진짜 맛있었어요 대학교 주변이라 그런지 가성비가 좋은게 장점이에요 ㅎㅎ 다음에는 냉면이랑도 싸먹어보려구요 ?? ,0
진화쿵푸마라탕,중국요리,3.7,3,0,최광용,2023-04-18,39,3.9,1,옆집 갈걸 그랬어요 하면서 옆집 보니 거기도 별점이 그닥 ㅋㅋ ,0
파스타집이야 인천인하대점,이탈리안,5.0,1,0,박종혁,2025-06-30,2,5.0,5,항상 맛있게 먹고 있어요. 처음으로 후기 남겨봅니다. 사장님 부자 되세요! ,0
춘리마라탕,중국요리,4.0,6,0,ㅎㅍ,2023-03-04,12,4.4,5,모르면 외우는게 좋다… 마라샹궈는 인후 춘리…서울 맛집도 다 가보고 부평도 가보고.. 10곳 넘게 도전했는데 전 아직까지 여기가 베스트.. ,0
정직유부 인하대점,"초밥,롤",4.9,8,21,쮠의 남편,2023-06-27,62,5.0,5,"유부초밥, 냉모밀, 비빔면 모두 맛있어여???????? ",0
레커훈스 인하대점,치킨,4.7,13,0,내 리뷰보면 실패안함,2022-01-03,188,3.7,5,레훈 크리스피는 진짜사랑임반마리 5천원 개꿀    축구경기 있는날엔 눈코뜰새 없이 바쁘신 사장님ㅋㅋㅋ ,0
고양이눈,일식,4.4,12,19,^♡^,2025-09-12,2,5.0,5,맛있어요.친절하시고 카래양도 많... 더보기,0
육쌈냉면 인하대점,냉면,2.7,21,16,키이새,2021-04-24,7,5.0,5,마시써여ㅠㅠㅠ 엉엉엉 여기 진짜 깰끔하고... 조용하고... 장사 더 잘 돼서 오래오래 함께했으면 좋겠어요... 오늘 비냉 먹고 기분 좋아져서 리뷰 남겨용♡ ,0
신전떡볶이 인하대점,떡볶이,2.5,8,0,내 리뷰보면 실패안함,2022-01-03,188,3.7,2,신전 맛이 다 거기서 거기긴한데식당밖에서 담배좀 그만 ,0
이조은김밥,한식,5.0,3,0,다섯번이상방문시리뷰남기는사람,2018-12-23,7,5.0,5,안에있는메뉴 모두 좋아요ㅠㅠ 갈때마다 행복해요ㅠㅠ ,0
인하각,중국요리,2.3,21,0,xx,2022-09-04,2,1.0,1,간짜장 시켜서 먹다가 다 먹을 쯤양파 아래에 벌레기어나오는고보고 놀라서말했더니 먹다가 들... 더보기,0
하얀 감자탕,감자탕,3.8,8,0,Choi,2024-10-03,2,5.0,5,"자극적이고 짠 국밥에 익숙하신 분들은 안 맞을 수도 있을 것 같긴 한데, 저는 담백하니 맛있어서 매번 잘 먹고 옵니다.뭔가... 건강 생각해서 ... 더보기",0
이치라멘&돈가츠,일본식라면,4.1,18,0,allamur98,2019-10-19,1,4.0,4,"The place itself is really good, food is really delicious and portion are big. However, whenever I go there, something is wrong with service, last time  they forgot to add peace of meat t... 더보기",0
아웃닭 인하대점,치킨,4.3,12,16,Heehee,2023-12-17,46,4.9,5,오랜만에 아웃닭이 너무 먹고싶었는데 마침 인하대 후문쪽에 아웃닭이 있어서 방문해봤어요! 감자튀김도 맛있고 가게 분위기도 좋았어요 ?? ,0
배스킨라빈스 인하대,아이스크림,2.1,11,0,홍란숙,2024-09-08,2,3.0,1,베라 많이 이용해 봤지만 이런대우는 첨이네요ㆍ변우석배우가 모델이라 힘들게 사전예약해서 기쁜마음으로 픽업하러갔다가 기분만상함;;마트들러 집에 가야해서 한시간 소요된다고하니?30분정도만 가능... 더보기,0
조선탕반 인하대직영점,국밥,3.9,17,136,쿠,2023-09-28,1,5.0,5,수육 국밥 정식 맛ㅇㅈ아래평점1점이신분은 그냥 리뷰후기목록을 자세히보니까 확실하게 어디아프신분이신듯..하네요 여기는 김... 더보기,0
치즈를사랑한찜닭 인하대점,닭요리,4.5,11,23,두치와흑구,2024-11-30,123,4.0,5,대학 졸업하고도 다시 찾게 되는 참된 맛집입니다. 오래오래 잘 운영되기 진심으로 바랍니다.ㅎㅎ ,0
더진국 수육국밥 인하대점,국밥,2.5,19,0,헐랭,2025-09-06,5,3.4,1,"요즘 더진국 상태가 안 좋다냉면은 면을 삶고 나서 찬물에 안 헹궈서 뜨겁게 먹었고,고기에선 냄새가 심하... 더보기",0
고수찜닭 본점,닭요리,3.7,31,79,뽀또홀릭,2023-09-27,1,5.0,5,인하대 갈때마다 먹는 집! 맛있어용! ,0
더케밥,튀르키예음식,4.2,17,0,ㅋㅋㅋ,2025-10-25,1,1.0,1,"Really disappointing. The pizza came out burnt and tasted terrible ? you could literally smell the char. I told them it couldn’t be eaten, but they just shrugged and did nothing. Poor service and zero responsibility. Wouldn’t come back again. ",0
궁중보쌈 인하대점,"족발,보쌈",3.2,25,12,내 리뷰보면 실패안함,2021-12-23,188,3.7,1,옛날에비해 형편없어졌네양이나 맛이나 친절도나 ,0
내동칼국수,칼국수,4.6,8,11,마타누이,2024-02-13,63,4.6,4,가격이 정말 착하고 음식도 맛있는 식당입니다. ,0
디탕 인하대점,한식,3.0,3,68,BlueHat,2025-09-24,110,4.8,5,똠양볶음밥 맛있게 먹었습니다 :-) ,0
중경마라탕 인하대점,중국요리,3.9,15,0,행우,2024-01-25,38,3.7,1,인하대에서 제일 맛있대서 갔는데 대체적으로 안 익었네요... 사골도 너무 약한 것 같고 감자는 딱딱하고 분모자는 안 끊기고... 중국당면도 딱딱해서 아쉬웠어요 ㅜ 그리고 숟가락이 넓은 것 밖에 없어서 공기밥 먹기가 불편해요 ,0
왕돈까스,"돈까스,우동",3.5,23,23,김상진,2022-05-17,55,4.4,3,싼맛으로 배 채우고 싶고 음료 마시고 싶을때 가는데 요즘은 안찾게될 정도로 맛이 떨어지고 있어요 ,0
지지고 인천 인하대점,도시락,3.6,14,22,리움,2025-08-10,18,3.6,1,너무 짜요.매장 청소도 제대로 안되어있음.먹다가 갈증이 너무나서 사이다 시켰네요.매장에 정수기도 없음. ,0
와플뱅 인하대점,"제과,베이커리",4.9,20,37,붕어빵??,2021-07-21,166,3.5,5,생크림이 그냥 텁텁한 크림이 아니에요!! 와플맛집ㅠㅠㅠㅠ♡ ,0
이모떡즉석떡볶이,떡볶이,4.3,24,201,.,2021-05-10,7,3.9,5,이모님 넘나 친절하시구 떡볶이 대존맛! ,0
오하요,일식,2.5,15,0,고은찬,2023-11-23,45,5.0,5,"연어가 이벤트가로 9,900우동이 3,900넘 맛있게 먹었네요 ",0
성화해장국 인하점,해장국,4.6,25,15,ㅇㅇ,2022-05-07,8,2.8,3,"비위 약하신 분들은 성화해장국, 소내장탕은 피하세요. 누린내가 너무 심해요. 내상입어요. 국물맛은 좋았어요. 뼈해장국이나 다른 메뉴는 괜찮을거 같습니다. ",0
운반미,베트남음식,4.9,10,0,얌얌,2024-07-07,115,4.4,5,베트남분들이 하시는데 반미 맛있어요 빵이 예술  ,0
마약집,닭요리,4.3,10,14,??,2023-05-15,3,5.0,5,여기는 이미 중독되어서 집이 일산인데도 계속가요 얼마나 맛있는지 아시겠죠? 제가 진짜 맛있다고 소문난 닭볶음탕 집 다 가봤는데 여기만한 곳 절대 없어요!! ,0
구름카츠 인하대점,"돈까스,우동",3.3,6,78,티구안,2024-08-18,163,4.0,5,돈가츠 부드럽고 마제소바 맛있었어요! ,0
콩불 인하대점,"불고기,두루치기",3.3,13,34,ㅅㅇ,2021-05-28,313,3.6,2,"직원 친절함 / 매장청결 보통 / 맛 글쎄뭘 먹고 온 건지 모르겠는 곳콩나물 단가 저렴하니 많이 주지, 고기와 콩나물 찔끔 ",0
BBQ치킨 인하대후문점,치킨,2.1,10,0,이승호,2022-02-12,3,3.7,5,1점 리뷰보고 억울할사장님을 위해 로그인까지 해서 리뷰남김.. 굉장히 친절하고 기프티콘같은거 사용해도 아주 잘해주심. 물론 존맛 ,0
인하 주먹고기,"육류,고기",4.7,16,30,억두,2024-05-15,12,3.8,2,고기 맛있는데 편차가 커요무한리필처럼처음 나오는 고기랑 추... 더보기,0
궁중보쌈 인하대점,"족발,보쌈",3.2,25,12,리움,2025-08-10,18,3.6,5,가성비 끝판왕.싸고 맛있음.마늘보쌈 강추.제발 드셔보시라.다만 저 국은 김치찌개 된장국 사이 애매한 포지션이라 내스타일아님. ,0
커리야,인도음식,4.3,29,41,J,2022-09-07,69,4.7,5,오늘의 커리+밥 8천원에 다른 맛(랜덤)으로 리필도 가능하다니! 커리 자체도 맛있음 ㅎㅎ ,0
미로곱창볶음집 인하대점,"곱창,막창",3.3,21,29,규리,2020-06-11,21,4.3,4,곱창전골 맛집. 양념 막창에 마요 찍어먹으면 존맛탱.... ,0
이모떡즉석떡볶이,떡볶이,4.3,24,201,위라,2023-10-01,7,5.0,5,사장님 친절하세요 그리고 떡볶이 다 맛있음 볶음밥 꼭 먹어야됨 ,0
팥지콩지,한식,3.3,22,26,신나래,2024-02-13,392,4.8,5,유명하다고해서 어머니께 사다드렸는데 달달한 팥죽 좋아하시는분들께는 추천드려요 ,0
동대문엽기떡볶이 인천인하대점,떡볶이,1.6,7,16,신나래,2024-02-13,392,4.8,1,배달주문시에 타지점하고 맛차이 있고...떡이랑 치즈가 굳는건 어쩔수없다지만 떡이 심하게 퉁퉁 붓고 덩어리채로 집혀져서 떡볶이를 찢어가면서 먹어야함... ,0
경동삼겹살,삼겹살,4.3,22,11,고라니2,2025-10-23,14,3.6,1,음식 재탕하는 거 같아요 제육 목살 둘다 말로 형용할 수 없는 잡내 나요… 새로 만든 제육볶음이 저 비주얼과 냄새일 수 없어요 제발 don’t go.. 궁금하면 가보세여 ,0
국제식당 인하대본점,일본식주점,4.4,18,69,복돌,2022-04-06,121,4.4,4,어이 새내기들… 여긴 나에게 남겨놔라 ,0
탄포포,"돈까스,우동",4.1,23,11,reviewer,2025-04-16,6,4.3,1,탄포포 매번 갈 때마다 맛있게 먹어서 이번에도 방문했습니다.원래 나베를 주문하지 않으면 숟가락을 받을 수 없는 건가... 더보기,0
오하요,일식,2.5,15,0,박종민,2022-08-21,9,3.1,1,1.일단 지저분했음.2.미소된장이 맹탕인줄..3.셀프코너...헐 ㅎ... 더보기,0
뭉클로 샌드위치 디저트,패스트푸드,4.5,8,12,김연직,2020-10-16,1,5.0,5,맛있는 커피와 신선하고 깔끔한 샌드위치 감사드려요~친절하신 사장님 덕분에 기분 좋은 ... 더보기,0
춘리마라탕,중국요리,4.0,6,0,뇸,2025-09-02,1,1.0,1,"배달은 절대 하지마시길요;;; 두번이나 추가 한 음식은 매우 조금 오거나 아예 누락시킴여,, 여기 별점 왜 높은지 모르겠음;;  ",0
국제식당 인하대본점,일본식주점,4.4,18,69,립밤,2024-02-20,4,5.0,5,사장님이 음식 솜씨가 좋으신 듯.. 다양하게 먹고 싶어서 여러가지 시켰는데 진짜 다 맛있어요 참치 육회 대박.. 녹습니다 녹아 내 마음도 같이 녹아.. 닭다리살 구이도 술안주 최고..  ,0
인하 주먹고기,"육류,고기",4.7,16,30,삐삐까,2024-07-30,14,4.6,5,고기 먹을일있으면 항상 가는곳인데 고기가 맛있고같이 곁들여 나오는 반찬들도 맛있어요ㅎ ,0
가메이,일식,3.6,28,48,피닌파리나,2025-09-02,17,1.6,1,일머리가 없는건지 지능이 떨어지는건지 모르겠는데 서비스 교육이 시급해보여요 ,0
이치라멘&돈가츠,일본식라면,4.1,18,0,느낌 가는 대로,2022-12-10,71,4.8,5,메뉴: 매운소유라멘(7000)에 돈가츠 추가(2000)제일 비싼 메뉴가 9000원+밥&카레 무한리필이라 가성비 좋아요라멘은 다양한데 입이 예민한 게 아니라 그런지 별 차이 잘 모르... 더보기,0
하하돈면,한식,4.9,8,11,??,2023-12-11,70,4.4,5,개개개맛있고.... 튀김 깨끗해요 돈까스 전문점 중에 젤 ㄱㅊ은 듯 ㅠ 가성비 굿굿굿굿굿 개굿 ,0
신흥갈비,갈비,4.5,11,21,lsadia,2025-07-17,19,3.0,3,맛있어서 자주 가긴 하는데… 접객면에서 예민하다는 느낌이 많이 들어요. 조금 더 친절했으면 합니다. 아무리 맛있어도 접객할 때 날카로운게 느껴지면 다시 가는걸 고민하게 되네요. ,0
맘스터치 인하대점,패스트푸드,2.2,22,0,박수아,2023-10-19,6,4.3,1,카운터 보는 알바분인지 직원분인지 모르겠는데 진짜 싸가지 없음.. 손님 차별하시고 반말로 하심.. 기분 좋으라고 맛있는거 먹으러 들어갔는데 더 기분 나빠서 나옴.. 일도 못하시고 친절함이 하나도 없어요.. ,0
하노이별 인하대점,베트남음식,4.8,22,133,융,2022-11-27,28,2.8,5,재료가 다양하고 엄청 맛있어요!!재방문 의사 있습니다!! ,0
와플뱅 인하대점,"제과,베이커리",4.9,20,37,욜,2025-07-01,29,2.5,4,위생은 심각하지만 와플은 맛있다씬크사인가? 이게 제일 맛있음 ,0
스톡홀름 샐러드,샐러드,5.0,9,24,냠냠쩝,2024-04-25,478,3.5,5,정말 좋아요! 마라탕집처럼 무게당으로 계산하는 샐러드집이에요.야채 신선하고 닭가슴살 맛있고 소스도 좋아요 대성하셔서 분점 많이 내주세요 ,0
와플뱅 인하대점,"제과,베이커리",4.9,20,37,xi자이자식아,2021-07-01,241,3.8,5,사장님께서 와플에 대해 많은 관심과 애정을 갖고 오랜시간동안 연... 더보기,0
솥고기67번길,삼겹살,3.5,2,252,뇽,2025-06-07,24,3.7,2,"궁금하면 한번 가볼만은 해요. 고기 질은 좋고 신선하지만 삼겹살은 양이 적은 느낌이고, 미나리를 기본으로 주지만 양이 적어요(추가는 3500원). 볶음밥도 그냥 무난하고 홀직... 더보기",0
이삭토스트 인천 인하대점,토스트,4.9,12,0,레코,2023-04-07,63,4.2,5,빠르게 음식이 나오고 엄청 친절하셔서 기분좋게 먹었습니다 ,0
계속 쪼르면,분식,4.4,77,29,평가원,2024-06-15,487,4.2,5,가성비 맛집인데 평점 와이라노?? 다들 쫄돈 드세용 ,0
이치라멘&돈가츠,일본식라면,4.1,18,0,.,2023-10-15,240,4.7,5,돈코츠라멘이 맛있습니다 차슈추가 ㅊㅊ ,0
썬더치킨 인하대점,치킨,3.9,17,11,신나래,2023-08-01,392,4.8,5,몇번 포장주문했는데 치킨도 가성비 휼륭하고 부모님도 좋아하세요! ,0
국가대표109 인하대점,"육류,고기",1.0,4,0,닥터장,2024-06-07,292,2.5,1,돈이 있고 고기먹고싶어도 가기 힘든 곳 ,0
돈마니,"돈까스,우동",4.5,62,65,syszm,2025-10-18,18,3.8,4,ㅅㅈㅎ... 돈가스보다는 제육이 ㄹㅈㄷ 맛잇어서 감 ㅋㅋ ,0
꽃피는 꽃삼겹,삼겹살,4.5,19,12,J,2023-03-23,11,3.6,1,이게 4000원짜리 볶음밥 양이라니... ,0
돈마니,"돈까스,우동",4.5,62,65,마타누이,2025-02-13,63,4.6,5,돈마니는 돈까스도 맛있지만 제육볶음이 특히나 맛있습니다.착한 가격에 맛있는 음식들을 무한리필로 즐길 수 있는 정말 가성비 ... 더보기,0
헤드라이너,칵테일바,4.6,9,13,김관,2024-09-11,1,5.0,5,음악 좀 좋아하면 무조건 가보세요. 축구 좋아해도 무조건 가보세요 ,0
카페밥엔술,양식,5.0,4,13,최선호,2025-02-21,2,5.0,5,"카페밥엔술 인하대점.음료와 식사, 알콜이 가능한 글로벌 이색카페.올 때마다 친절함에 취하고 분위기에 취하고 맛에 취하는 곳입니다. 서비스로 오늘은 대만식 ... 더보기",0
산츠키,일본식주점,4.5,6,63,서울러,2024-04-07,12,3.6,2,대한민국에 이자카야가 너무 많아졌습니다.인하대 후문 도태돼야 할 곳 중 하나입니다.  ,0
당나발포차 인하대점,실내포장마차,5.0,49,68,스피드리,2025-04-09,4,5.0,5,와우 ㅋㅋㅋ 당나발포차 인하대점 진짜 물건이네유~~! 인하대 앞에서 친구들이랑 술 한잔하려고 갔는데 대.만.족!! 무뼈닭발이랑 주먹밥 조합은 진짜 진리임요ㅋㅋ 거기다 계란말이까지 곁들이면 완벽 그 자체~ ,0
성화해장국 인하점,해장국,4.6,25,15,다녀왔어요,2025-10-16,46,4.3,4,솔직히 여기 위생은 좀 그런데 맛이;;;;;한 술 뜨면 주변 환경 신경 안 쓰임국밥 1티어임 ㄱㄱ ,0
봄날은간다,칵테일바,3.9,10,0,노르웨이의 숲,2023-08-03,37,3.4,2,초대형견이 걸어다니니 물리지 않도록 조심하시고 베란다엔 강아지똥이 가득하니 밟지않도록 주의하세요 ,0
팥지콩지,한식,3.3,22,26,동재,2025-07-08,23,3.6,1,음..내 기준 걸쭉한 콩국아님. 전라도식 걸쭉콩국수 원하면 여긴 아님. 맛이야 그렇다 치고 리뷰까지 쓰는 이유는.. 계좌유도는 댓글 읽고 알아서 이체함. 1인 식당이라 식탁 드러운 것도 그냥저냥 이해 함. 하지만 입... 더보기,0
